Student,Text,No evidence,Target phenomena,Set-up conditions,Entities,Activities,Properties,Organization,Chaining
P,So.,1,0,0,0,0,0,0,0
G,I feel like what we need to do - like specific heat is like how much it takes to raise the - ,1,0,0,0,0,0,0,0
P,Some mass by some degree temperature change.,1,0,0,0,0,0,0,0
G,Yeah.,1,0,0,0,0,0,0,0
P,One degree Celsius really.,1,0,0,0,0,0,0,0
G,So I feel like we should make a closed system and then like burn a thing and then -,1,0,0,0,0,0,0,0
P,See what happens.,1,0,0,0,0,0,0,0
G,"Like I would take a box, like a completely closed box, put my thing in the box, and then put a heat source on the outside.",0,0,1,0,0,0,0,0
P,Yeah.,1,0,0,0,0,0,0,0
R,Would it matter the object or not really?,0,0,1,0,0,0,0,0
P,So...,1,0,0,0,0,0,0,0
G,"Well, I mean it depends on what we're trying to find the specific heat of.",1,0,0,0,0,0,0,0
P,So my thought is that so far in the class we've been using two different kinds of specific heats which is measured at constant pressure as opposed to measured at constant volume,1,0,0,0,0,0,0,0
G,Constant volume. I would choose constant volume. I think it's easier.,1,0,0,0,0,0,0,0
P,I think we can do both relatively easily by having it as like a piston setup where you can have the piston locked or unlocked. ,0,0,1,0,0,0,0,0
G,Mmm.,1,0,0,0,0,0,0,0
P,So you can either have the volume set as constant or let air pressure equalize things out for you. Um. And so basically - and even like it might be easier to measure your energy slash heat input if you have a resistive heater that goes inside the body and you just have like a little resistor in there heating it up. And then you need some kind of thermostat to know when you've made that one degree Celsius change. ,0,0,1,0,0,0,0,0
D,Mhm.,1,0,0,0,0,0,0,0
G,Yeah.,1,0,0,0,0,0,0,0
D,So - ,1,0,0,0,0,0,0,0
P,Obviously this is like super simplified because that heat is not going to dissipate evenly in that volume.,0,0,1,0,0,0,0,0
D,Mhm.,1,0,0,0,0,0,0,0
P,Things spread out and eventually reach there. ,1,0,0,0,0,0,0,0
D,So what was the advantage of um having it be constant volume and constant pressure?,1,0,0,0,0,0,0,0
G,You can't do both.,1,0,0,0,0,0,0,0
P,Yeah.,1,0,0,0,0,0,0,0
G,You have to have one or the other.,1,0,0,0,0,0,0,0
D,Right so like - ,1,0,0,0,0,0,0,0
G,What he's saying is you make one system that's a piston so that you can lock the piston and then it's a constant volume and do one trial like that.,0,0,1,0,0,0,0,0
D,Oh so you have ok.,1,0,0,0,0,0,0,0
G,And then - ,1,0,0,0,0,0,0,0
D,I got you I got you.,1,0,0,0,0,0,0,0
G,And then unlock the piston so it's - so the pressure - so the volume will change but theoretically the pressure would stay the same.,1,0,0,0,0,0,0,0
D,Right ok.,1,0,0,0,0,0,0,0
P,Plus or minus.,1,0,0,0,0,0,0,0
G,Plus or minus.,1,0,0,0,0,0,0,0
D,Got you got you.,1,0,0,0,0,0,0,0
G,And then you run this as a whole experiment again - like the second one.,1,0,0,0,0,0,0,0
D,Ok.,1,0,0,0,0,0,0,0
P,And that would allow you to see - cause really it shouldn't be temperature-dependent cause you're just looking for that change - the amount of energy to change.,1,0,0,0,0,0,0,0
D,Right.,1,0,0,0,0,0,0,0
P,Of course it probably is temperature-dependent.,1,0,0,0,0,0,0,0
D,Right.,1,0,0,0,0,0,0,0
P,"It's fine. As long as it's close enough. Um so I guess in terms of designing a physical model, what we need is a sense of what kind of like pressure vessel we need, what kind of - I mean we can do this at close to air pressure presumably like a hundred kPa. ",0,0,1,0,0,0,0,0
D,Mhm.,1,0,0,0,0,0,0,0
P,I mean I would assume that doing this in as low stress an environment as possible is ideal right?,0,0,1,0,0,0,0,0
D,Right.,1,0,0,0,0,0,0,0
P,"So we can just have this sort of piston sitting there and have a resistor wire running through it. We can measure how much energy is going into it, and we can - there's you know an equation to see how much heat loss you have in a resistor based on what your amperage.",0,0,1,0,0,0,0,0
D,Do we have a group name?,1,0,0,0,0,0,0,0
G,No. Group 9?,1,0,0,0,0,0,0,0
R,Uh yeah Group 9.,1,0,0,0,0,0,0,0
P,Group no. Are we allowed to tell jokes? No? Ok. Can't help.,1,0,0,0,0,0,0,0
R,Hopefully the people listening laugh.,1,0,0,0,0,0,0,0
P,Yeah. I can't imagine listening to you know an hour to two hours for every group though that's...,1,0,0,0,0,0,0,0
G,Yeah that'd be kinda brutal not gonna lie.,1,0,0,0,0,0,0,0
P,You guys are brave and we appreciate you. Um... so I... Do you guys agree that that's a good basic premise to work off of?,1,0,0,0,0,0,0,0
R,Mhm.,1,0,0,0,0,0,0,0
P,And then from there we can get some feasibility numbers involved. ,1,0,0,0,0,0,0,0
G,That seems like a good idea.,1,0,0,0,0,0,0,0
P,"I mean, this one does seem more largely conceptual. Numbers-wise it's just sorta like designing a model of something that'll actually work. So thermometer. I mean I guess we could like put a pressure - like a barometer in there too to - ",0,0,1,0,0,0,0,0
G,What are you doing?,1,0,0,0,0,0,0,0
D,"Getting scrap paper. I don't know why I didn't just use a page of my notebook, but I was already over there when I realized that, so it was too late.",1,0,0,0,0,0,0,0
P,There we go.,1,0,0,0,0,0,0,0
D,"So now we got plain paper. So in terms of like what you were saying, literally just like some vessel, um.",0,0,1,0,0,0,0,0
P,Piston on it.,0,0,1,0,0,0,0,0
D,Piston.,1,0,0,0,0,0,0,0
P,And...,1,0,0,0,0,0,0,0
D,But actually like connected.,0,0,1,0,0,0,0,0
P,Yeah. Um and you can like either engage or disengage locks on it.,0,0,1,0,0,0,0,0
D,Just something like that.,1,0,0,0,0,0,0,0
P,And then you just have like a little resistor wire going through there. And that'll be a full circuit.,0,0,1,0,0,0,0,0
D,Ok.,1,0,0,0,0,0,0,0
P,You don't need to draw that. We get it.,1,0,0,0,0,0,0,0
G,I'll draw these two taller. It doesn't matter. ,1,0,0,0,0,0,0,0
D,No I think that it should be those holes there just so that - ,0,0,1,0,0,0,0,0
P,So the air can get out.,0,0,0,1,0,0,0,0
G,So the air can get out.,1,0,0,0,0,0,0,0
D,"Exactly, exactly.",1,0,0,0,0,0,0,0
G,Yeah.,1,0,0,0,0,0,0,0
P,Gets a little claustrophobic. ,1,0,0,0,0,0,0,0
D,I'll get a ruler. ,1,0,0,0,0,0,0,0
P,Um. So what do you think we should present to them in terms of like something quantifiable?,1,0,0,0,0,0,0,0
G,Well we should - ,1,0,0,0,0,0,0,0
P,Demonstrate the feasibility of the experiment.,1,0,0,0,0,0,0,0
G,"Um we can do the thing where it's like um where you have the piston and you have step one, step two.",1,0,0,0,0,0,0,0
P,Yeah different state changes.,1,0,0,0,0,0,0,0
R,Oh so you're saying draw that all in one.,1,0,0,0,0,0,0,0
G,Yeah.,1,0,0,0,0,0,0,0
D,What was that?,1,0,0,0,0,0,0,0
G,"Oh I was saying yeah like that but also we can do the like math and be like yeah pressure remains the same, volume remains the same for each of the things. And then that will - ",1,0,0,0,0,0,0,0
P,Which is basically what we're stating in our assumptions about it so,1,0,0,0,0,0,0,0
D,Yeah.,1,0,0,0,0,0,0,0
G,Yeah and then um I think...,1,0,0,0,0,0,0,0
P,I mean we can also model how we're actually - like what are the quantities we're measuring in terms of the different cp equations that we can use.,1,0,0,0,0,0,0,0
G,Yeah.,1,0,0,0,0,0,0,0
P,"So if we're not assuming constant cp and cv, um we have to use the I guess it's that integral equation. What chapter is that?",1,0,0,0,0,0,0,0
D,Four?,1,0,0,0,0,0,0,0
G,Not a clue.,1,0,0,0,0,0,0,0
D,Four?,1,0,0,0,0,0,0,0
P,It's what you say.,1,0,0,0,0,0,0,0
D,It's been a while.,1,0,0,0,0,0,0,0
P,"Uh four was ideal gas stuff which is... c and cp is in Chapter 5. That's promising. Um. So what would be most useful to us um well I guess we - if we want to be super precise about measuring one or the other, we could do both but the alternative is to just get cp by adding the gas constant to cv - ",1,0,0,0,0,0,0,0
D,Mhm.,1,0,0,0,0,0,0,0
P,But measurement is better than making more assumptions.,1,0,0,0,0,0,0,0
G,We can check - we would like that could be a check for - ,1,0,0,0,0,0,0,0
P,Yeah.,1,0,0,0,0,0,0,0
G,Like if we add like let's say we do both experiments. We would then be able to check that we did them correctly.,1,0,0,0,0,0,0,0
P,Yeah.,1,0,0,0,0,0,0,0
G,With that.,1,0,0,0,0,0,0,0
