seed,lr,final_loss
7,3.3,0.00966568198055029
7,2.9,0.009665491990745068
7,2.5,0.00966569408774376
7,2.1,0.009665696881711483
7,1.7,0.009665531106293201
7,1.3,0.00966565776616335
7,0.9,0.009665939956903458
7,0.5,0.009668606333434582
7,0.1,0.01312610786408186
7,0.01,0.01796022802591324
7,0.001,0.08862192183732986
7,0.0001,5.237014293670654
7,1e-05,6.147874355316162
7,1e-06,6.2400665283203125
123,3.3,0.009674926288425922
123,2.9,0.009675746783614159
123,2.5,0.009676855057477951
123,2.1,0.00967797078192234
123,1.7,0.009680348448455334
123,1.3,0.009683329612016678
123,0.9,0.009690347127616405
123,0.5,0.009713289327919483
123,0.1,0.014538419432938099
123,0.01,0.021234778687357903
123,0.001,0.0887199118733406
123,0.0001,5.237014293670654
123,1e-05,6.147874355316162
123,1e-06,6.240066051483154
213,3.3,0.009675873443484306
213,2.9,0.009677180089056492
213,2.5,0.009678114205598831
213,2.1,0.00967951025813818
213,1.7,0.009681197814643383
213,1.3,0.009683584794402122
213,0.9,0.00968785397708416
213,0.5,0.009701383300125599
213,0.1,0.013004523701965809
213,0.01,0.017215987667441368
213,0.001,0.08866804838180542
213,0.0001,5.237014293670654
213,1e-05,6.147874355316162
213,1e-06,6.240066051483154
512,3.3,0.009678658097982407
512,2.9,0.00967971608042717
512,2.5,0.009681187570095062
512,2.1,0.009682388044893742
512,1.7,0.009684317745268345
512,1.3,0.009687434881925583
512,0.9,0.00969285424798727
512,0.5,0.00971061922609806
512,0.1,0.013358487747609615
512,0.01,0.01788642257452011
512,0.001,0.08868414908647537
512,0.0001,5.2370147705078125
512,1e-05,6.14787483215332
512,1e-06,6.2400665283203125
637,3.3,0.009672402404248714
637,2.9,0.009673275984823704
637,2.5,0.009673998691141605
637,2.1,0.00967494212090969
637,1.7,0.009676345624029636
637,1.3,0.009678708389401436
637,0.9,0.00968301109969616
637,0.5,0.00969745870679617
637,0.1,0.01377288717776537
637,0.01,0.01968645676970482
637,0.001,0.08865292370319366
637,0.0001,5.237014293670654
637,1e-05,6.147874355316162
637,1e-06,6.2400665283203125
